Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
21,1668789453490,18/11/2022 16:37:33,1668789453309,-5,18/11/2022 11:37:33,77588,12,questionnaire-6fn4,,25331642,BLIND,7493485,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1470x956,1470x755,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,51732
1,1668788534836,18/11/2022 16:22:14,1668788533952,-5,18/11/2022 11:22:13,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1280x641,,,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1668788616655,18/11/2022 16:23:36,1668788615844,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,visionproblems,No
3,1668788616761,18/11/2022 16:23:36,1668788615845,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1668788616761,18/11/2022 16:23:36,1668788615845,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-3,No
5,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-3-quantised,2
6,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,wearing-3,Makeup
7,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,light,Yes
8,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,light-quantised,1
9,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,camerause,Yes
10,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,camerause-quantised,1
11,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,camera_brand,
12,1668788616761,18/11/2022 16:23:36,1668788615846,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,distancefromscreen,20 inches
13,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,lookphone,0
14,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-1,0
15,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,envdistraction,Yes
16,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
17,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-2,Yes
18,1668788616761,18/11/2022 16:23:36,1668788615847,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,help,Part of the text of the instructions was cut off so I couldn't actually read them
19,1668788616761,18/11/2022 16:23:36,1668788615848,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-4,No
20,1668788616761,18/11/2022 16:23:36,1668788615848,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,response-4-quantised,2
21,1668788616761,18/11/2022 16:23:36,1668788615848,-5,18/11/2022 11:23:35,77588,12,questionnaire-6fn4,,25331304,BLIND,7492849,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1280x800,1265x641,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,81896
1,1668787307786,18/11/2022 16:01:47,1668787307688,-5,18/11/2022 11:01:47,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1668787355015,18/11/2022 16:02:35,1668787354951,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,visionproblems,No
3,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-3,No
5,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-3-quantised,2
6,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,light,Yes
7,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,light-quantised,1
8,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,camerause,Yes
9,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,camerause-quantised,1
10,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,camera_brand,
11,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,distancefromscreen,14 inches
12,1668787355130,18/11/2022 16:02:35,1668787354953,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,lookphone,0
13,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-1,0
14,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,envdistraction,Yes
15,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-2,yes
17,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,help,what to not do to mess up calibration
18,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-4,No
19,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,response-4-quantised,2
20,1668787355130,18/11/2022 16:02:35,1668787354954,-5,18/11/2022 11:02:34,77588,12,questionnaire-6fn4,,25330685,BLIND,7484996,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x840,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,47266
1,1668789582067,18/11/2022 16:39:42,1668789581936,-5,18/11/2022 11:39:41,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,BEGIN QUESTIONNAIRE,
2,1668789635857,18/11/2022 16:40:35,1668789635764,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,visionproblems,No
3,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,visionproblems-quantised,2
4,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-3,No
5,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-3-quantised,2
6,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,light,Yes
7,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,light-quantised,1
8,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,camerause,Yes
9,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,camerause-quantised,1
10,1668789635980,18/11/2022 16:40:35,1668789635765,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,camera_brand,
11,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,distancefromscreen,16
12,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,lookphone,0
13,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-1,0
14,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,envdistraction,Yes
15,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,envdistraction-quantised,1
16,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-2,Yes
17,1668789635980,18/11/2022 16:40:35,1668789635766,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,help,Had to recalibrate several times and didn't know why. Tips would have been helpful.
18,1668789635980,18/11/2022 16:40:35,1668789635767,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-4,No
19,1668789635980,18/11/2022 16:40:35,1668789635767,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,response-4-quantised,2
20,1668789635980,18/11/2022 16:40:35,1668789635767,-5,18/11/2022 11:40:35,77588,12,questionnaire-6fn4,,25331686,BLIND,7493502,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 107.0.0.0,1680x1050,1569x842,,,,ET_Data_Quality,3,No,END QUESTIONNAIRE,53831
END OF FILE
